"zip","city","county","state","pop"
"90744","Wilmington","Los Angeles","CA",57206
"90745","Carson","Los Angeles","CA",56821
"92027","Escondido","San Diego","CA",56811
"94109","San Francisco","San Francisco","CA",56677
"93063","Simi Valley","Ventura","CA",56651
"92530","Lake Elsinore","Riverside","CA",56511
"95116","San Jose","Santa Clara","CA",56481
"92571","Perris","Riverside","CA",56446
"93436","Lompoc","Santa Barbara","CA",56406
"92117","San Diego","San Diego","CA",56173
"92646","Huntington Beach","Orange","CA",55893
"90034","Los Angeles","Los Angeles","CA",55652
"92113","San Diego","San Diego","CA",55623
"91405","Van Nuys","Los Angeles","CA",55384
"94591","Vallejo","Solano","CA",55334
"92130","San Diego","San Diego","CA",55316
"93215","Delano","Kern","CA",55269
"91406","Van Nuys","Los Angeles","CA",55215
"92840","Garden Grove","Orange","CA",55186
"92129","San Diego","San Diego","CA",54986
"91745","Hacienda Heights","Los Angeles","CA",54975
"91764","Ontario","San Bernardino","CA",54825
"90723","Paramount","Los Angeles","CA",54776
"95670","Rancho Cordova","Sacramento","CA",54648
"91801","Alhambra","Los Angeles","CA",54479
"94568","Dublin","Alameda","CA",54420
"92399","Yucaipa","San Bernardino","CA",54163
"92234","Cathedral City","Riverside","CA",53961
"92223","Beaumont","Riverside","CA",53914
"91786","Upland","San Bernardino","CA",53849
"92056","Oceanside","San Diego","CA",53845
"92025","Escondido","San Diego","CA",53772
"91304","Canoga Park","Los Angeles","CA",53761
"90220","Compton","Los Angeles","CA",53703
"93308","Bakersfield","Kern","CA",53702
"92870","Placentia","Orange","CA",53582
"95125","San Jose","Santa Clara","CA",53574
"92701","Santa Ana","Orange","CA",53565
"95376","Tracy","San Joaquin","CA",53542
"91344","Granada Hills","Los Angeles","CA",53266
"90018","Los Angeles","Los Angeles","CA",53256
"90002","Los Angeles","Los Angeles","CA",53111
"95350","Modesto","Stanislaus","CA",53098
"91913","Chula Vista","San Diego","CA",53072
"93277","Visalia","Tulare","CA",53015
"90063","Los Angeles","Los Angeles","CA",52951
"92833","Fullerton","Orange","CA",52922
"94539","Fremont","Alameda","CA",52802
"95023","Hollister","San Benito","CA",52646
"93313","Bakersfield","Kern","CA",52637
"95648","Lincoln","Placer","CA",52394
